Year,Month,Data,mm,SLR
1921,5,4,2600,123
1921,5,5,2723,43
1921,5,6,2766,-40
1921,5,7,2726,2
1921,5,8,2728,-26
1921,5,9,2702,-4
1921,5,10,2698,-107
1921,5,11,2591,-100
1921,5,12,2491,31
1921,5,13,2522,18
1921,5,14,2540,-17
1921,5,15,2523,-16
1921,5,16,2507,-24
1921,5,17,2483,-9
1921,5,18,2474,-32
1921,5,19,2442,-35
1921,5,20,2407,-31
1921,5,21,2376,48
1921,5,22,2424,102
1921,5,23,2526,-49
1921,5,24,2477,-37
1921,5,25,2440,145
1921,5,26,2585,-17
1921,5,27,2568,-42
1921,5,28,2526,29
1921,5,29,2555,-23
1921,5,30,2532,-46
1921,5,31,2486,0
1921,6,1,0,0
1921,6,2,0,0
1921,6,3,0,0
1921,6,4,0,0
1921,6,5,0,0
1921,6,6,0,0
1921,6,7,0,0
1921,6,8,0,0
1921,6,9,0,0
1921,6,10,0,0
1921,6,11,0,0
1921,6,12,0,0
1921,6,13,0,0
1921,6,14,0,0
1921,6,15,0,0
1921,6,16,0,0
1921,6,17,0,0
1921,6,18,0,0
1921,6,19,0,0
1921,6,20,0,0
1921,6,21,0,0
1921,6,22,0,0
1921,6,23,0,0
1921,6,24,0,0
1921,6,25,0,0
1921,6,26,0,0
1921,6,27,0,0
1921,6,28,0,0
1921,6,29,0,0
1921,6,30,0,0
1921,7,1,0,0
1921,7,2,0,0
1921,7,3,0,0
1921,7,4,0,0
1921,7,5,0,0
1921,7,6,0,0
1921,7,7,0,0
1921,7,8,0,0
1921,7,9,0,0
1921,7,10,0,0
1921,7,11,0,0
1921,7,12,0,0
1921,7,13,0,0
1921,7,14,0,0
1921,7,15,0,0
1921,7,16,0,0
1921,7,17,0,0
1921,7,18,0,0
1921,7,19,0,0
1921,7,20,0,0
1921,7,21,0,0
1921,7,22,0,0
1921,7,23,0,0
1921,7,24,0,0
1921,7,25,2474,11
1921,7,26,2485,21
1921,7,27,2506,-25
1921,7,28,2481,36
1921,7,29,2517,82
1921,7,30,2599,-12
1921,7,31,2587,-93
1921,8,1,2494,-78
1921,8,2,2416,24
1921,8,3,2440,28
1921,8,4,2468,-19
1921,8,5,2449,-19
1921,8,6,2430,43
1921,8,7,2473,74
1921,8,8,2547,-77
1921,8,9,2470,-18
1921,8,10,2452,-16
1921,8,11,2436,-16
1921,8,12,2420,16
1921,8,13,2436,54
1921,8,14,2490,-35
1921,8,15,2455,-64
1921,8,16,2391,39
1921,8,17,2430,109
1921,8,18,2539,-24
